BFS,Gemeinde,Wappen,Anbieter 1,Anbieter 2,total,netznutzung,energie,abgaben_gemeinwesen,foerderabgabgen,total2,netznutzung2,energie2,abgaben_gemeinwesen2,foerderabgabgen2,angezeigter_wert
4030,Killwangen,http://i.imgur.com/1mK0CwS.png,Elektrizitäts - Versorgung Killwangen,,18.08,8.194167,6.9356427,0.65,2.3,,,,,,18.08
4031,Künten,http://i.imgur.com/5mVDyI2.png,Elektra-Genossenschaft Künten,,17.45,7.8153334,6.874476,0.46,2.3,,,,,,17.45
4032,Mägenwil,http://i.imgur.com/i6P6JMV.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4033,Mellingen,http://i.imgur.com/ygzUtMm.png,Elektrizitätswerk Mellingen,,16.1,6.9,6.0,0.9,2.3,,,,,,16.1
4034,Neuenhof,http://i.imgur.com/yrqjhgc.png,Elektrizität Wasser Neuenhof ewn,,18.09,7.74,7.3,0.75,2.3,,,,,,18.09
4035,Niederrohrdorf,http://i.imgur.com/FIcVun6.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4037,Oberrohrdorf,http://i.imgur.com/9yN4UPe.png,AEW Energie AG,Elektra Oberrohrdorf,19.14,8.530548,7.806655,0.5,2.3,18.7,8.99,6.87,0.54,2.3,18.92
4038,Obersiggenthal,http://i.imgur.com/uJJH5dZ.png,Elektrizitäts-Genossenschaft Siggenthal,,19.72,9.228095,7.774476,0.42,2.3,,,,,,19.72
4039,Remetschwil,http://i.imgur.com/3bWmPXL.png,Elektra - Genossenschaft Remetschwil,Elektra Busslingen,17.34,8.04,7.0,,2.3,17.42,7.72,7.4,,2.3,17.380000000000003
4040,Spreitenbach,http://i.imgur.com/rTrCwxh.png,Elektrizitätsversorgung Spreitenbach,,15.56,5.1260715,7.398095,0.73,2.3,,,,,,15.56
4041,Stetten,http://i.imgur.com/Qeadgb2.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4042,Turgi,http://i.imgur.com/PzCWLUz.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4044,Untersiggenthal,http://i.imgur.com/jBMixKU.png,AEW Energie AG,Elektrizitäts-Genossenschaft Siggenthal,19.14,8.530548,7.806655,0.5,2.3,19.72,9.228095,7.774476,0.42,2.3,19.43
